state,year,medianHI,IncarcerationRate,total_pop
"AL",1998,87,2.96576747120997e-3,63390
"AL",1998,76,3.567977402809782e-3,26906
"AL",1998,85,3.9330941781562e-3,69411
"AL",1998,79,4.329209524260954e-3,63291
"AL",1998,91,5.123491463684488e-3,117498
"AL",1998,76,6.606606606606606e-3,11655
"AL",1998,82,7.851686719339081e-3,61006
"AL",1998,97,2.405367768071908e-3,47394
"AL",1998,99,2.958747416404768e-3,70638
"AL",1998,96,4.351784009414063e-3,45039
"AL",1998,96,5.054210483410777e-3,98136
"AL",1998,99,5.795918367346939e-3,24500
"AL",1998,95,6.5957191985901754e-3,116894
"AL",1998,100,7.688545968267768e-3,36808
"AL",1998,102,2.307314678448699e-3,61110
"AL",1998,101,2.7935891718909845e-3,76246
"AL",1998,106,3.3373399319102074e-3,148921
"AL",1998,101,6.247185413013692e-3,104367
"AL",1998,101,7.278222999980114e-3,50287
"AL",1998,107,5.536050833293599e-3,398479
"AL",1998,110,2.397311990335246e-3,52976
"AL",1998,111,2.8872527789808e-3,76197
"AL",1998,111,3.4568143371987545e-3,81578
"AL",1998,110,3.8049810661229247e-3,54928
"AL",1998,109,4.113365022742983e-3,117179
"AL",1998,114,8.711657844493478e-3,87469
"AL",1998,122,2.2734720629198754e-3,48824
"AL",1998,115,3.0272035897520497e-3,121234
"AL",1998,114,4.565176150932312e-3,163411
"AL",1998,114,5.5668752728860425e-3,109936
"AL",1998,122,3.32085985971392e-3,61731
"AL",1998,123,7.149100899100899e-3,224224
"AL",1998,131,2.0555790927207396e-3,63729
"AL",1998,127,3.6818303531581924e-3,134444
"AL",1998,128,3.860229129441891e-3,104657
"AL",1998,125,6.236671447512781e-3,664457
"AL",1998,155,4.1092676632526635e-3,272798
"AL",1998,131,5.523707425207366e-3,110071
"AL",1998,190,2.1036527060623446e-3,135954
"AL",1999,83,2.652759774515419e-3,66346
"AL",1999,80,3.124690991792742e-3,50565
"AL",1999,88,3.976519598560878e-3,36967
"AL",1999,69,4.249645862844763e-3,12001
"AL",1999,85,4.515113268187319e-3,76853
"AL",1999,85,5.138892177990385e-3,42227
"AL",1999,91,6.0248923182622946e-3,37843
"AL",1999,86,6.5153211849740406e-3,29469
"AL",1999,80,7.558339643422593e-3,72635
"AL",1999,94,2.71878198567042e-3,31264
"AL",1999,98,3.111822015413698e-3,34385
"AL",1999,98,3.41493562951091e-3,95463
"AL",1999,94,4.22651241090297e-3,27919
"AL",1999,97,5.437748132538055e-3,106294
"AL",1999,98,6.46481178396072e-3,24440
"AL",1999,96,8.09533896353874e-3,108581
"AL",1999,103,2.3645605456183248e-3,62168
"AL",1999,101,2.8147752111081408e-3,63593
"AL",1999,107,3.355960643734269e-3,131110
"AL",1999,101,5.58001116002232e-3,16129
"AL",1999,102,6.67489251140113e-3,183973
"AL",1999,110,3.011336797354747e-3,169360
"AL",1999,108,4.698599852616065e-3,169625
"AL",1999,109,5.571400733405374e-3,112898
"AL",1999,111,2.9823088282132206e-3,34537
"AL",1999,110,5.802320427323244e-3,399323
"AL",1999,112,3.310880237470031e-3,87590
"AL",1999,113,4.145006526667735e-3,43667
"AL",1999,116,4.981388219837968e-3,164412
"AL",1999,114,9.24583031182016e-3,88256
"AL",1999,120,2.567828492943448e-3,50237
"AL",1999,120,7.3228121029935405e-3,223548
"AL",1999,122,6.4192986293929956e-3,662845
"AL",1999,128,2.373612823674476e-3,64880
"AL",1999,128,3.8965694602471983e-3,128318
"AL",1999,134,4.180146123368834e-3,137555
"AL",1999,128,5.728743110147285e-3,110670
"AL",1999,149,4.222896105834513e-3,274693
"AL",1999,135,4.771547610734819e-3,42963
"AL",1999,193,2.2846649869752746e-3,140502
"AL",2000,76,2.3669235030467843e-3,59571
"AL",2000,87,3.264499318648078e-3,66779
"AL",2000,78,3.74871619308456e-3,58420
"AL",2000,84,4.308337214718212e-3,34352
"AL",2000,84,4.838709677419355e-3,37200
"AL",2000,86,5.342064449422712e-3,29015
"AL",2000,89,6.4242682731780135e-3,37514
"AL",2000,80,6.89979047756665e-3,55364
"AL",2000,81,7.446209792631716e-3,46198
"AL",2000,95,3.2029140237392452e-3,15923
"AL",2000,96,3.766133013611679e-3,141790
"AL",2000,93,4.686129917920853e-3,69567
"AL",2000,97,5.536185450433472e-3,42448
"AL",2000,100,6.068747151526782e-3,41689
"AL",2000,96,7.278259796866648e-3,24319
"AL",2000,97,7.769559611861302e-3,58948
"AL",2000,93,1.0741893384198373e-2,49805
"AL",2000,103,2.6252251561721535e-3,52186
"AL",2000,101,3.0454791553871144e-3,88656
"AL",2000,105,3.530310934258574e-3,82429
"AL",2000,102,6.670797591154658e-3,103286
"AL",2000,102,6.9702372109146735e-3,80772
"AL",2000,107,3.2008683324472797e-3,180576
"AL",2000,109,3.935132967391032e-3,39897
"AL",2000,107,4.0911322435769224e-3,54997
"AL",2000,106,5.223945248202373e-3,115430
"AL",2000,105,5.2844320810939765e-3,111081
"AL",2000,109,2.4086712163789645e-3,34874
"AL",2000,110,2.9305194288894694e-3,88039
"AL",2000,112,5.048187241854061e-3,43580
"AL",2000,111,5.676665820305416e-3,165414
"AL",2000,119,2.7393507738665934e-3,51107
"AL",2000,112,5.878927095805016e-3,400073
"AL",2000,114,9.331819255028502e-3,88943
"AL",2000,119,7.935442290133734e-3,223428
"AL",2000,120,6.702082826686887e-3,662033
"AL",2000,126,2.6528817875875453e-3,65966
"AL",2000,127,3.733617799451387e-3,131240
"AL",2000,133,4.542174300632508e-3,141342
"AL",2000,128,6.74333084579351e-3,111221
"AL",2000,146,4.692153142438367e-3,322027
"AL",2000,192,2.1220122482270482e-3,144674
"AL",2001,75,2.3693765770201243e-3,32498
"AL",2001,87,3.29209041622303e-3,81711
"AL",2001,85,3.9600673448578405e-3,84342
"AL",2001,82,5.297274093153037e-3,116475
"AL",2001,86,6.587072869493619e-3,51009
"AL",2001,80,6.784878175669817e-3,46132
"AL",2001,85,7.505696287360943e-3,29844
"AL",2001,95,3.3265097236438077e-3,15632
"AL",2001,96,4.041132960490709e-3,138575
"AL",2001,95,4.674182018146824e-3,54555
"AL",2001,99,6.381960903694361e-3,91978
"AL",2001,96,6.7993366500829185e-3,24120
"AL",2001,95,7.635590009617346e-3,34313
"AL",2001,93,1.0156785296844141e-2,49622
"AL",2001,103,2.5384051294586618e-3,53183
"AL",2001,101,3.227242377030937e-3,89860
"AL",2001,106,5.635144608415868e-3,111266
"AL",2001,101,6.943365444375389e-3,102976
"AL",2001,102,7.326505145850579e-3,80939
"AL",2001,107,3.219762232942798e-3,185728
"AL",2001,109,3.7666224534911403e-3,117612
"AL",2001,107,4.947206489056709e-3,171612
"AL",2001,110,2.6383710926297676e-3,34870
"AL",2001,110,5.8706067293297914e-3,400129
"AL",2001,111,3.0527047191625566e-3,87791
"AL",2001,113,4.803733186933846e-3,43716
"AL",2001,112,5.684302579798863e-3,166951
"AL",2001,115,9.610012291876188e-3,89490
"AL",2001,120,2.276015044845212e-3,51845
"AL",2001,122,3.525335512081461e-3,66093
"AL",2001,119,8.19106201355762e-3,223048
"AL",2001,128,2.614437671805904e-3,66936
"AL",2001,134,3.7504261847937266e-3,67459
"AL",2001,134,4.383088869715271e-3,144875
"AL",2001,129,6.321520030085421e-3,111682
"AL",2001,123,7.111513684551732e-3,660197
"AL",2001,153,4.457990103617188e-3,281517
"AL",2001,140,5.146026866270133e-3,44889
"AL",2001,199,2.0621593754603035e-3,149358
"AL",2002,74,2.0229488625058034e-3,30154
"AL",2002,84,3.4333735186086027e-3,141843
"AL",2002,86,4.308635774893606e-3,37831
"AL",2002,79,5.026371545778298e-3,44366
"AL",2002,81,6.356287691108106e-3,101317
"AL",2002,84,7.1894740515827315e-3,28653
"AL",2002,85,8.519952854015828e-3,29695
"AL",2002,94,3.6109709794758782e-3,37663
"AL",2002,95,4.19365462729169e-3,45545
"AL",2002,100,4.543825700566186e-3,69765
"AL",2002,92,4.9165242539766e-3,38035
"AL",2002,95,5.95287652984764e-3,24022
"AL",2002,99,6.328999475597187e-3,55301
"AL",2002,100,6.979007368274712e-3,35965
"AL",2002,94,8.058505027775824e-3,71105
"AL",2002,93,9.497059952716765e-3,49489
"AL",2002,102,2.514668901927913e-3,17895
"AL",2002,103,3.3444816053511705e-3,125879
"AL",2002,102,5.168115765793154e-3,16447
"AL",2002,107,6.1366181410974245e-3,111625
"AL",2002,105,7.05345582341698e-3,81095
"AL",2002,102,7.631957121218006e-3,102988
"AL",2002,108,3.6459689720599723e-3,53758
"AL",2002,107,3.965007843401438e-3,103909
"AL",2002,108,2.7379099659922764e-3,34698
"AL",2002,110,3.4285577280410468e-3,83417
"AL",2002,110,4.292027157442054e-3,118126
"AL",2002,108,5.380431110210149e-3,118392
"AL",2002,108,6.122208310646872e-3,398549
"AL",2002,111,2.7388818514841318e-3,87627
"AL",2002,115,5.372183018438424e-3,43930
"AL",2002,112,5.946929600247393e-3,168154
"AL",2002,115,9.439626417611742e-3,89940
"AL",2002,121,2.2834960324256436e-3,52551
"AL",2002,118,8.342854582521226e-3,223185
"AL",2002,125,7.446183982795908e-3,657518
"AL",2002,130,2.8370051864001064e-3,67677
"AL",2002,131,4.119676605386477e-3,135933
"AL",2002,136,4.710828146015396e-3,147957
"AL",2002,130,6.227296315516347e-3,111766
"AL",2002,156,4.5210324013140665e-3,286439
"AL",2002,143,5.140604238820275e-3,45909
"AL",2002,205,2.1886527770561648e-3,153976
"AL",2003,80,2.129649901478813e-3,50243
"AL",2003,88,3.6440557451649603e-3,56256
"AL",2003,81,3.9601667438628994e-3,43180
"AL",2003,81,4.741482310623687e-3,79511
"AL",2003,72,5.452185201211597e-3,23110
"AL",2003,78,6.2122372564037106e-3,58755
"AL",2003,91,7.384854570188508e-3,30874
"AL",2003,84,8.30434486051429e-3,58644
"AL",2003,67,9.278897136797455e-3,11316
"AL",2003,100,2.680067001675042e-3,17910
"AL",2003,95,3.529130278741476e-3,33436
"AL",2003,97,4.068685501607173e-3,118220
"AL",2003,92,4.683035241824532e-3,37796
"AL",2003,96,5.606091025621226e-3,64751
"AL",2003,98,6.755808592105527e-3,49883
"AL",2003,92,7.25364738391697e-3,60797
"AL",2003,93,8.341917290058934e-3,59219
"AL",2003,101,3.2045302400105355e-3,91121
"AL",2003,105,3.833283584434355e-3,63653
"AL",2003,101,5.675300368290769e-3,16563
"AL",2003,101,8.201892744479496e-3,103025
"AL",2003,106,2.663675872704332e-3,21399
"AL",2003,106,3.6305412299156596e-3,53711
"AL",2003,106,5.367996096002839e-3,112705
"AL",2003,105,6.121854291326913e-3,398082
"AL",2003,106,7.008652657601978e-3,80900
"AL",2003,110,2.6096033402922755e-3,34488
"AL",2003,108,3.0587565798833403e-3,84348
"AL",2003,109,3.999653209259313e-3,173015
"AL",2003,108,5.338508049404103e-3,120071
"AL",2003,110,2.758135364289525e-3,88103
"AL",2003,113,5.9684784209751065e-3,169725
"AL",2003,114,8.141728040237111e-3,222680
"AL",2003,121,1.964195521634211e-3,53457
"AL",2003,115,4.8064989281281735e-3,44315
"AL",2003,115,8.880761270682538e-3,91321
"AL",2003,124,4.327616605225197e-3,68629
"AL",2003,123,7.075145282298601e-3,657513
"AL",2003,131,2.5810026539123333e-3,68578
"AL",2003,137,3.3316651176092085e-3,69935
"AL",2003,134,4.1911701615085575e-3,151509
"AL",2003,142,4.5726495726495725e-3,46800
"AL",2003,128,5.571400733405374e-3,112898
"AL",2003,156,4.287057822078519e-3,291342
"AL",2003,195,1.9536141862445526e-3,159704
"AL",2004,77,2.6161287378699844e-3,32873
"AL",2004,81,3.8906624102154827e-3,40096
"AL",2004,86,4.2228925226226385e-3,94485
"AL",2004,83,5.188867835972674e-3,115054
"AL",2004,77,6.094430181939949e-3,44795
"AL",2004,76,6.701414743112435e-3,13430
"AL",2004,87,7.975638051044084e-3,89648
"AL",2004,64,8.411722141823444e-3,11056
"AL",2004,96,2.5854726852415134e-3,32876
"AL",2004,99,3.5646443563706292e-3,85282
"AL",2004,101,4.672897196261682e-3,16692
"AL",2004,92,5.188510458345532e-3,61482
"AL",2004,98,6.038529239194211e-3,40904
"AL",2004,92,7.131601276819265e-3,49498
"AL",2004,95,7.661140924356691e-3,83669
"AL",2004,91,8.93875998478509e-3,36806
"AL",2004,101,4.575325299800376e-3,68629
"AL",2004,102,8.517656189367482e-3,103080
"AL",2004,105,2.7677651905252316e-3,46608
"AL",2004,106,3.4934775692014e-3,157150
"AL",2004,106,4.323871957598159e-3,14339
"AL",2004,103,6.35995165331102e-3,397959
"AL",2004,107,8.097215888783446e-3,81139
"AL",2004,109,2.9527115358607943e-3,88732
"AL",2004,108,3.407311907173773e-3,119449
"AL",2004,109,4.031690366179877e-3,78131
"AL",2004,108,5.3077514434793985e-3,122274
"AL",2004,108,5.852179584354233e-3,113462
"AL",2004,110,4.333798815428324e-3,41534
"AL",2004,114,5.774598743893929e-3,171960
"AL",2004,111,8.367637958403961e-3,223002
"AL",2004,115,5.038510199098839e-3,45053
"AL",2004,114,9.277159180499605e-3,92593
"AL",2004,120,1.9399896533885152e-3,54124
"AL",2004,120,7.204015712863726e-3,656023
"AL",2004,130,3.089391174399724e-3,69593
"AL",2004,132,3.9862022843666954e-3,227284
"AL",2004,128,4.416609861395138e-3,70416
"AL",2004,141,5.024190547078526e-3,48366
"AL",2004,127,5.884643293276463e-3,113006
"AL",2004,153,4.386869831391318e-3,295655
"AL",2004,192,2.0391295691886318e-3,165757
"AL",2005,73,1.7936601014107826e-3,28991
"AL",2005,88,3.2048505846686876e-3,46180
"AL",2005,84,4.26093601648797e-3,86366
"AL",2005,90,4.589920719551208e-3,21569
"AL",2005,81,4.97102657028237e-3,103198
"AL",2005,79,5.536387707614539e-3,99704
"AL",2005,66,7.537916628825719e-3,11011
"AL",2005,86,8.639602714331876e-3,58799
"AL",2005,96,3.4965291805927937e-3,136135
"AL",2005,96,4.048807542983915e-3,18030
"AL",2005,93,4.813701763250977e-3,37601
"AL",2005,97,5.779361636194608e-3,64540
"AL",2005,94,7.238161681346472e-3,11467
"AL",2005,93,7.587342665568757e-3,85010
"AL",2005,94,9.918288356090743e-3,37204
"AL",2005,102,2.6488560963029662e-3,114389
"AL",2005,102,3.221584616933454e-3,39732
"AL",2005,102,4.423357664233576e-3,68500
"AL",2005,101,5.7306590257879654e-3,16752
"AL",2005,104,6.124721603563474e-3,14368
"AL",2005,100,8.19103846071375e-3,139909
"AL",2005,103,8.510533931768573e-3,81546
