county,,year,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,fips
"Costilla",37,2014,121,28,149,"Misdemeanor",70,61,9,22,19,3,92,8023
"Costilla",38,2015,120,21,141,"Misdemeanor",86,73,13,20,18,2,106,8023
"Costilla",39,2016,115,24,139,"Misdemeanor",55,49,6,18,17,1,73,8023
"Costilla",226,2014,34,10,44,"Felony",26,20,6,6,5,1,32,8023
"Costilla",227,2015,41,5,46,"Felony",34,29,5,7,7,NA,41,8023
"Costilla",228,2016,33,17,50,"Felony",23,22,1,14,14,NA,37,8023
"Crowley",40,2014,54,20,74,"Misdemeanor",40,32,8,21,18,3,61,8025
"Crowley",41,2015,51,28,79,"Misdemeanor",37,29,8,29,22,7,66,8025
"Crowley",42,2016,34,15,49,"Misdemeanor",22,19,3,14,8,6,36,8025
"Crowley",229,2014,26,2,28,"Felony",17,13,4,4,2,2,21,8025
"Crowley",230,2015,25,20,45,"Felony",20,16,4,21,18,3,41,8025
"Crowley",231,2016,55,9,64,"Felony",40,33,7,10,5,5,50,8025
"Custer",43,2014,48,14,62,"Misdemeanor",38,32,6,14,14,NA,52,8027
"Custer",44,2015,71,24,95,"Misdemeanor",46,40,6,24,21,3,70,8027
"Custer",45,2016,47,29,76,"Misdemeanor",36,29,7,30,26,4,66,8027
"Custer",232,2014,17,4,21,"Felony",14,12,2,3,2,1,17,8027
"Custer",233,2015,19,5,24,"Felony",8,8,NA,8,8,NA,16,8027
"Custer",234,2016,39,11,50,"Felony",24,23,1,12,11,1,36,8027
"Delta",46,2014,428,66,494,"Misdemeanor",283,234,49,130,115,15,413,8029
"Delta",47,2015,460,70,530,"Misdemeanor",297,256,41,146,124,22,443,8029
"Delta",48,2016,557,65,622,"Misdemeanor",282,252,30,217,179,38,499,8029
"Delta",235,2014,117,11,128,"Felony",65,46,19,32,23,9,97,8029
"Delta",236,2015,112,13,125,"Felony",61,40,21,35,29,6,96,8029
"Delta",237,2016,114,15,129,"Felony",59,41,18,42,36,6,101,8029
"Dolores",49,2014,29,10,39,"Misdemeanor",18,15,3,8,8,NA,26,8033
"Dolores",50,2015,26,15,41,"Misdemeanor",12,11,1,8,8,NA,20,8033
"Dolores",51,2016,15,24,39,"Misdemeanor",8,7,1,12,11,1,20,8033
"Dolores",241,2014,3,5,8,"Felony",3,2,1,5,4,1,8,8033
"Dolores",242,2015,9,2,11,"Felony",5,4,1,2,2,NA,7,8033
"Dolores",243,2016,16,1,17,"Felony",12,11,1,1,1,NA,13,8033
"Douglas",52,2014,2230,625,2855,"Misdemeanor",1339,1199,140,582,529,53,1921,8035
"Douglas",53,2015,2315,975,3290,"Misdemeanor",1381,1260,121,928,840,88,2309,8035
"Douglas",54,2016,2810,979,3789,"Misdemeanor",1581,1444,137,943,842,101,2524,8035
"Douglas",244,2014,582,112,694,"Felony",343,295,48,110,98,12,453,8035
"Douglas",245,2015,573,197,770,"Felony",357,302,55,198,175,23,555,8035
"Douglas",246,2016,750,279,1029,"Felony",476,419,57,276,244,32,752,8035
"Eagle",55,2014,759,228,987,"Misdemeanor",362,317,45,223,197,26,585,8037
"Eagle",56,2015,861,166,1027,"Misdemeanor",419,359,60,208,188,20,627,8037
"Eagle",57,2016,891,158,1049,"Misdemeanor",483,417,66,166,147,19,649,8037
"Eagle",247,2014,225,34,259,"Felony",180,164,16,34,32,2,214,8037
"Eagle",248,2015,332,24,356,"Felony",257,238,19,26,26,NA,283,8037
"Eagle",249,2016,283,17,300,"Felony",201,189,12,18,17,1,219,8037
"El Paso",58,2014,7742,993,8735,"Misdemeanor",3521,3085,436,1176,1099,77,4697,8041
"El Paso",59,2015,8076,1069,9145,"Misdemeanor",3720,3262,458,1097,1030,67,4817,8041
"El Paso",60,2016,8061,1074,9135,"Misdemeanor",3212,2841,371,1087,1020,67,4299,8041
"El Paso",250,2014,5041,318,5359,"Felony",2834,2222,612,366,326,40,3200,8041
"El Paso",251,2015,5260,362,5622,"Felony",2800,2277,523,359,326,33,3159,8041
"El Paso",252,2016,5781,325,6106,"Felony",3043,2546,497,330,301,29,3373,8041
"Elbert",61,2014,226,77,303,"Misdemeanor",152,137,15,75,66,9,227,8039
"Elbert",62,2015,240,82,322,"Misdemeanor",162,137,25,81,69,12,243,8039
"Elbert",63,2016,212,117,329,"Misdemeanor",154,138,16,116,95,21,270,8039
"Elbert",253,2014,53,11,64,"Felony",35,27,8,10,10,NA,45,8039
"Elbert",254,2015,63,19,82,"Felony",46,36,10,19,15,4,65,8039
"Elbert",255,2016,86,35,121,"Felony",64,52,12,35,31,4,99,8039
"Fremont",64,2014,563,193,756,"Misdemeanor",399,337,62,94,79,15,493,8043
"Fremont",65,2015,636,226,862,"Misdemeanor",445,390,55,219,172,47,664,8043
"Fremont",66,2016,423,594,1017,"Misdemeanor",198,162,36,586,513,73,784,8043
"Fremont",256,2014,259,64,323,"Felony",170,141,29,41,36,5,211,8043
"Fremont",257,2015,282,93,375,"Felony",149,124,25,88,79,9,237,8043
"Fremont",258,2016,379,230,609,"Felony",144,111,33,220,183,37,364,8043
"Garfield",67,2014,1057,271,1328,"Misdemeanor",620,492,128,310,244,66,930,8045
"Garfield",68,2015,1104,288,1392,"Misdemeanor",671,550,121,308,272,36,979,8045
"Garfield",69,2016,1113,326,1439,"Misdemeanor",590,504,86,355,297,58,945,8045
"Garfield",259,2014,283,88,371,"Felony",194,137,57,106,77,29,300,8045
"Garfield",260,2015,401,84,485,"Felony",252,172,80,108,77,31,360,8045
"Garfield",261,2016,386,138,524,"Felony",258,186,72,150,127,23,408,8045
