county,,year,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,fips
"Routt",161,2015,365,172,537,"Misdemeanor",249,235,14,171,151,20,420,8107
"Routt",162,2016,309,176,485,"Misdemeanor",200,183,17,169,146,23,369,8107
"Routt",352,2014,72,29,101,"Felony",53,43,10,30,26,4,83,8107
"Routt",353,2015,95,65,160,"Felony",72,59,13,62,53,9,134,8107
"Routt",354,2016,58,42,100,"Felony",39,31,8,40,34,6,79,8107
"Saguache",163,2014,84,38,122,"Misdemeanor",35,25,10,38,34,4,73,8109
"Saguache",164,2015,69,31,100,"Misdemeanor",29,26,3,30,26,4,59,8109
"Saguache",165,2016,88,30,118,"Misdemeanor",35,27,8,26,23,3,61,8109
"Saguache",355,2014,18,23,41,"Felony",15,13,2,21,17,4,36,8109
"Saguache",356,2015,19,19,38,"Felony",13,8,5,19,15,4,32,8109
"Saguache",357,2016,48,14,62,"Felony",31,27,4,14,10,4,45,8109
"San Juan",166,2014,11,2,13,"Misdemeanor",3,2,1,1,1,NA,4,8111
"San Juan",167,2015,19,1,20,"Misdemeanor",6,3,3,1,1,NA,7,8111
"San Juan",168,2016,19,4,23,"Misdemeanor",8,5,3,2,2,NA,10,8111
"San Juan",358,2014,3,1,4,"Felony",2,2,NA,1,NA,1,3,8111
"San Juan",359,2015,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA,8111
"San Juan",360,2016,8,5,13,"Felony",7,5,2,3,3,NA,10,8111
"San Miguel",169,2014,134,33,167,"Misdemeanor",110,92,18,29,21,8,139,8113
"San Miguel",170,2015,143,30,173,"Misdemeanor",114,102,12,31,26,5,145,8113
"San Miguel",171,2016,209,25,234,"Misdemeanor",179,162,17,22,20,2,201,8113
"San Miguel",361,2014,28,7,35,"Felony",20,14,6,7,5,2,27,8113
"San Miguel",362,2015,48,6,54,"Felony",37,31,6,9,6,3,46,8113
"San Miguel",363,2016,46,12,58,"Felony",40,32,8,8,7,1,48,8113
"Sedgwick",172,2014,36,7,43,"Misdemeanor",20,19,1,6,6,NA,26,8115
"Sedgwick",173,2015,56,15,71,"Misdemeanor",25,24,1,15,12,3,40,8115
"Sedgwick",174,2016,62,7,69,"Misdemeanor",31,29,2,7,7,NA,38,8115
"Sedgwick",364,2014,8,2,10,"Felony",7,4,3,2,1,1,9,8115
"Sedgwick",365,2015,13,7,20,"Felony",10,6,4,7,7,NA,17,8115
"Sedgwick",366,2016,21,9,30,"Felony",13,12,1,8,8,NA,21,8115
"Summit",175,2014,862,63,925,"Misdemeanor",647,573,74,69,61,8,716,8117
"Summit",176,2015,938,110,1048,"Misdemeanor",709,616,93,107,89,18,816,8117
"Summit",177,2016,820,112,932,"Misdemeanor",570,511,59,108,84,24,678,8117
"Summit",367,2014,209,13,222,"Felony",144,126,18,16,12,4,160,8117
"Summit",368,2015,230,19,249,"Felony",164,128,36,20,14,6,184,8117
"Summit",369,2016,264,19,283,"Felony",189,160,29,20,13,7,209,8117
"Teller",178,2014,529,139,668,"Misdemeanor",406,367,39,127,114,13,533,8119
"Teller",179,2015,504,121,625,"Misdemeanor",341,302,39,111,100,11,452,8119
"Teller",180,2016,461,119,580,"Misdemeanor",278,244,34,114,110,4,392,8119
"Teller",370,2014,169,14,183,"Felony",110,93,17,9,8,1,119,8119
"Teller",371,2015,167,21,188,"Felony",101,96,5,18,16,2,119,8119
"Teller",372,2016,205,27,232,"Felony",134,113,21,27,24,3,161,8119
"Washington",181,2014,67,29,96,"Misdemeanor",43,42,1,31,29,2,74,8121
"Washington",182,2015,80,37,117,"Misdemeanor",54,47,7,36,33,3,90,8121
"Washington",183,2016,97,25,122,"Misdemeanor",46,44,2,23,22,1,69,8121
"Washington",373,2014,11,4,15,"Felony",5,3,2,4,3,1,9,8121
"Washington",374,2015,8,6,14,"Felony",6,5,1,6,6,NA,12,8121
"Washington",375,2016,21,12,33,"Felony",13,12,1,13,12,1,26,8121
"Weld",184,2014,3329,1343,4672,"Misdemeanor",2227,1839,388,1092,967,125,3319,8123
"Weld",185,2015,3200,2156,5356,"Misdemeanor",2037,1631,406,1911,1658,253,3948,8123
"Weld",186,2016,2677,2747,5424,"Misdemeanor",1627,1301,326,2256,1972,284,3883,8123
"Weld",376,2014,1648,468,2116,"Felony",824,659,165,483,391,92,1307,8123
"Weld",377,2015,1591,596,2187,"Felony",789,601,188,609,536,73,1398,8123
"Weld",378,2016,1887,647,2534,"Felony",877,679,198,655,533,122,1532,8123
"Yuma",187,2014,90,22,112,"Misdemeanor",65,60,5,21,20,1,86,8125
"Yuma",188,2015,121,30,151,"Misdemeanor",85,73,12,31,25,6,116,8125
"Yuma",189,2016,107,39,146,"Misdemeanor",74,62,12,33,27,6,107,8125
"Yuma",379,2014,32,3,35,"Felony",22,19,3,3,3,NA,25,8125
"Yuma",380,2015,43,10,53,"Felony",34,19,15,9,6,3,43,8125
"Yuma",381,2016,47,14,61,"Felony",32,26,6,14,12,2,46,8125
"Denver",238,2014,3817,1271,5088,"Felony",1936,1632,304,1313,1186,127,3249,8031
"Denver",239,2015,4036,1319,5355,"Felony",2069,1751,318,1446,1291,155,3515,8031
"Denver",240,2016,4037,2572,6609,"Felony",1902,1621,281,2619,2286,333,4521,8031
