fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR
8021,2015,"Conejos",51.0,17,68.0,"felonybondtype",12,37102,3435,20.2
8021,2016,"Conejos",115.0,42,157.0,"misdemeanorbondtype",12,34390,3428,22.7
8021,2016,"Conejos",75.0,27,102.0,"felonybondtype",12,34390,3428,22.7
8023,2014,"Costilla",121.0,28,149.0,"misdemeanorbondtype",12,27882,2834,28.5
8023,2014,"Costilla",34.0,10,44.0,"felonybondtype",12,27882,2834,28.5
8023,2015,"Costilla",120.0,21,141.0,"misdemeanorbondtype",12,27944,2875,28.2
8023,2015,"Costilla",41.0,5,46.0,"felonybondtype",12,27944,2875,28.2
8023,2016,"Costilla",115.0,24,139.0,"misdemeanorbondtype",12,27211,2845,30.4
8023,2016,"Costilla",33.0,17,50.0,"felonybondtype",12,27211,2845,30.4
8025,2014,"Crowley",54.0,20,74.0,"misdemeanorbondtype",16,32570,3218,40.5
8025,2014,"Crowley",26.0,2,28.0,"felonybondtype",16,32570,3218,40.5
8025,2015,"Crowley",51.0,28,79.0,"misdemeanorbondtype",16,35405,3598,44.3
8025,2015,"Crowley",25.0,20,45.0,"felonybondtype",16,35405,3598,44.3
8025,2016,"Crowley",34.0,15,49.0,"misdemeanorbondtype",16,35873,3715,48.0
8025,2016,"Crowley",55.0,9,64.0,"felonybondtype",16,35873,3715,48.0
8027,2014,"Custer",48.0,14,62.0,"misdemeanorbondtype",11,48368,5103,14.9
8027,2014,"Custer",17.0,4,21.0,"felonybondtype",11,48368,5103,14.9
8027,2015,"Custer",71.0,24,95.0,"misdemeanorbondtype",11,43995,3800,15.1
8027,2015,"Custer",19.0,5,24.0,"felonybondtype",11,43995,3800,15.1
8027,2016,"Custer",47.0,29,76.0,"misdemeanorbondtype",11,52021,5525,13.6
8027,2016,"Custer",39.0,11,50.0,"felonybondtype",11,52021,5525,13.6
8029,2014,"Delta",428.0,66,494.0,"misdemeanorbondtype",7,45283,3900,15.6
8029,2014,"Delta",117.0,11,128.0,"felonybondtype",7,45283,3900,15.6
8029,2015,"Delta",460.0,70,530.0,"misdemeanorbondtype",7,42586,3447,15.8
8029,2015,"Delta",112.0,13,125.0,"felonybondtype",7,42586,3447,15.8
8029,2016,"Delta",557.0,65,622.0,"misdemeanorbondtype",7,41798,3884,17.8
8029,2016,"Delta",114.0,15,129.0,"felonybondtype",7,41798,3884,17.8
8033,2014,"Dolores",29.0,10,39.0,"misdemeanorbondtype",22,44235,4721,15.4
8033,2014,"Dolores",3.0,5,8.0,"felonybondtype",22,44235,4721,15.4
8033,2015,"Dolores",26.0,15,41.0,"misdemeanorbondtype",22,44829,4652,14.9
8033,2015,"Dolores",9.0,2,11.0,"felonybondtype",22,44829,4652,14.9
8033,2016,"Dolores",15.0,24,39.0,"misdemeanorbondtype",22,46791,4965,13.2
8033,2016,"Dolores",16.0,1,17.0,"felonybondtype",22,46791,4965,13.2
8035,2014,"Douglas",2230.0,625,2855.0,"misdemeanorbondtype",18,107250,5897,3.7
8035,2014,"Douglas",582.0,112,694.0,"felonybondtype",18,107250,5897,3.7
8035,2015,"Douglas",2315.0,975,3290.0,"misdemeanorbondtype",18,109926,5076,3.4
8035,2015,"Douglas",573.0,197,770.0,"felonybondtype",18,109926,5076,3.4
8035,2016,"Douglas",2810.0,979,3789.0,"misdemeanorbondtype",18,112399,5799,3.4
8035,2016,"Douglas",750.0,279,1029.0,"felonybondtype",18,112399,5799,3.4
8037,2014,"Eagle",759.0,228,987.0,"misdemeanorbondtype",5,76661,5616,7.8
8037,2014,"Eagle",225.0,34,259.0,"felonybondtype",5,76661,5616,7.8
8037,2015,"Eagle",861.0,166,1027.0,"misdemeanorbondtype",5,75191,6178,7.6
8037,2015,"Eagle",332.0,24,356.0,"felonybondtype",5,75191,6178,7.6
8037,2016,"Eagle",891.0,158,1049.0,"misdemeanorbondtype",5,79556,5893,7.9
8037,2016,"Eagle",283.0,17,300.0,"felonybondtype",5,79556,5893,7.9
8041,2014,"El Paso",7742.0,993,8735.0,"misdemeanorbondtype",4,59286,2118,12.2
8041,2014,"El Paso",5041.0,318,5359.0,"felonybondtype",4,59286,2118,12.2
8041,2015,"El Paso",8076.0,1069,9145.0,"misdemeanorbondtype",4,60050,1755,11.0
8041,2015,"El Paso",5260.0,362,5622.0,"felonybondtype",4,60050,1755,11.0
8041,2016,"El Paso",8061.0,1074,9135.0,"misdemeanorbondtype",4,63610,2125,11.5
8041,2016,"El Paso",5781.0,325,6106.0,"felonybondtype",4,63610,2125,11.5
8039,2014,"Elbert",226.0,77,303.0,"misdemeanorbondtype",18,83603,5738,5.9
8039,2014,"Elbert",53.0,11,64.0,"felonybondtype",18,83603,5738,5.9
8039,2015,"Elbert",240.0,82,322.0,"misdemeanorbondtype",18,90270,7288,5.9
8039,2015,"Elbert",63.0,19,82.0,"felonybondtype",18,90270,7288,5.9
8039,2016,"Elbert",212.0,117,329.0,"misdemeanorbondtype",18,86693,2835,6.0
8039,2016,"Elbert",86.0,35,121.0,"felonybondtype",18,86693,2835,6.0
8043,2014,"Fremont",563.0,193,756.0,"misdemeanorbondtype",11,41385,3023,19.1
8043,2014,"Fremont",259.0,64,323.0,"felonybondtype",11,41385,3023,19.1
8043,2015,"Fremont",636.0,226,862.0,"misdemeanorbondtype",11,41967,3403,17.2
8043,2015,"Fremont",282.0,93,375.0,"felonybondtype",11,41967,3403,17.2
8043,2016,"Fremont",423.0,594,1017.0,"misdemeanorbondtype",11,46372,4399,17.5
8043,2016,"Fremont",379.0,230,609.0,"felonybondtype",11,46372,4399,17.5
8045,2014,"Garfield",1057.0,271,1328.0,"misdemeanorbondtype",9,62529,4738,10.2
8045,2014,"Garfield",283.0,88,371.0,"felonybondtype",9,62529,4738,10.2
8045,2015,"Garfield",1104.0,288,1392.0,"misdemeanorbondtype",9,64487,5701,10.3
8045,2015,"Garfield",401.0,84,485.0,"felonybondtype",9,64487,5701,10.3
8045,2016,"Garfield",1113.0,326,1439.0,"misdemeanorbondtype",9,69161,4740,9.1
8045,2016,"Garfield",386.0,138,524.0,"felonybondtype",9,69161,4740,9.1
8047,2014,"Gilpin",422.0,72,494.0,"misdemeanorbondtype",1,64752,6701,7.9
8047,2014,"Gilpin",78.0,16,94.0,"felonybondtype",1,64752,6701,7.9
8047,2015,"Gilpin",509.0,122,631.0,"misdemeanorbondtype",1,67389,5934,8.0
8047,2015,"Gilpin",149.0,25,174.0,"felonybondtype",1,67389,5934,8.0
8047,2016,"Gilpin",384.0,126,510.0,"misdemeanorbondtype",1,65472,7081,7.5
8047,2016,"Gilpin",124.0,27,151.0,"felonybondtype",1,65472,7081,7.5
8049,2014,"Grand",303.0,21,324.0,"misdemeanorbondtype",14,59379,5697,10.4
8049,2014,"Grand",63.0,7,70.0,"felonybondtype",14,59379,5697,10.4
8049,2015,"Grand",240.0,65,305.0,"misdemeanorbondtype",14,59885,6077,8.3
8049,2015,"Grand",41.0,8,49.0,"felonybondtype",14,59885,6077,8.3
8049,2016,"Grand",258.0,95,353.0,"misdemeanorbondtype",14,63875,6083,8.2
8049,2016,"Grand",48.0,14,62.0,"felonybondtype",14,63875,6083,8.2
8051,2014,"Gunnison",326.0,40,366.0,"misdemeanorbondtype",7,48940,5024,14.9
8051,2014,"Gunnison",85.0,7,92.0,"felonybondtype",7,48940,5024,14.9
8051,2015,"Gunnison",363.0,48,411.0,"misdemeanorbondtype",7,47619,4414,12.5
8051,2015,"Gunnison",72.0,15,87.0,"felonybondtype",7,47619,4414,12.5
8051,2016,"Gunnison",363.0,43,406.0,"misdemeanorbondtype",7,53753,5018,13.8
8051,2016,"Gunnison",102.0,13,115.0,"felonybondtype",7,53753,5018,13.8
8053,2014,"Hinsdale",10.0,NA,10.0,"misdemeanorbondtype",7,51241,5478,10.1
8053,2014,"Hinsdale",2.0,1,3.0,"felonybondtype",7,51241,5478,10.1
8053,2015,"Hinsdale",6.0,5,11.0,"misdemeanorbondtype",7,58613,3925,10.9
8053,2015,"Hinsdale",3.0,NA,3.0,"felonybondtype",7,58613,3925,10.9
8053,2016,"Hinsdale",6.0,3,9.0,"misdemeanorbondtype",7,51717,5648,10.0
8053,2016,"Hinsdale",2.0,2,4.0,"felonybondtype",7,51717,5648,10.0
8055,2014,"Huerfano",228.0,25,253.0,"misdemeanorbondtype",3,32750,3421,22.0
8055,2014,"Huerfano",78.0,36,114.0,"felonybondtype",3,32750,3421,22.0
8055,2015,"Huerfano",234.0,26,260.0,"misdemeanorbondtype",3,33098,3344,23.2
8055,2015,"Huerfano",69.0,20,89.0,"felonybondtype",3,33098,3344,23.2
8055,2016,"Huerfano",224.0,36,260.0,"misdemeanorbondtype",3,34626,3081,21.9
8055,2016,"Huerfano",96.0,41,137.0,"felonybondtype",3,34626,3081,21.9
8057,2014,"Jackson",17.0,12,29.0,"misdemeanorbondtype",8,45073,4768,16.6
8057,2014,"Jackson",4.0,2,6.0,"felonybondtype",8,45073,4768,16.6
8057,2015,"Jackson",14.0,7,21.0,"misdemeanorbondtype",8,46905,4828,13.9
8057,2015,"Jackson",1.0,4,5.0,"felonybondtype",8,46905,4828,13.9
8057,2016,"Jackson",15.0,3,18.0,"misdemeanorbondtype",8,46671,5052,14.1
8057,2016,"Jackson",8.0,2,10.0,"felonybondtype",8,46671,5052,14.1
8059,2014,"Jefferson",4831.0,813,5644.0,"misdemeanorbondtype",1,70687,1319,8.3
8059,2014,"Jefferson",2619.0,437,3056.0,"felonybondtype",1,70687,1319,8.3
8059,2015,"Jefferson",4920.0,964,5884.0,"misdemeanorbondtype",1,71209,1563,7.9
8059,2015,"Jefferson",3032.0,440,3472.0,"felonybondtype",1,71209,1563,7.9
8059,2016,"Jefferson",5304.0,1097,6401.0,"misdemeanorbondtype",1,74342,2275,7.0
