County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Phillips",2015,143,41,22,63,"Misdemeanor",27,19,8,21,14,7,48,150,141,4355
"Phillips",2015,335,18,2,20,"Felony",15,11,4,2,2,NA,17,150,141,4355
"Phillips",2016,144,54,21,75,"Misdemeanor",36,30,6,16,15,1,52,111,106,4355
"Phillips",2016,336,15,7,22,"Felony",12,11,1,7,7,NA,19,111,106,4355
"Pitkin",2014,145,164,61,225,"Misdemeanor",117,97,20,62,50,12,179,648,641,16591
"Pitkin",2014,337,38,4,42,"Felony",30,25,5,4,3,1,34,648,641,16591
"Pitkin",2015,146,121,53,174,"Misdemeanor",74,65,9,53,43,10,127,784,767,16844
"Pitkin",2015,338,62,13,75,"Felony",51,44,7,13,9,4,64,784,767,16844
"Pitkin",2016,147,169,41,210,"Misdemeanor",94,80,14,39,32,7,133,772,760,16844
"Pitkin",2016,339,53,22,75,"Felony",42,32,10,23,20,3,65,772,760,16844
"Prowers",2014,148,629,68,697,"Misdemeanor",334,270,64,73,47,26,407,486,484,12293
"Prowers",2014,340,108,47,155,"Felony",76,63,13,47,36,11,123,486,484,12293
"Prowers",2015,149,662,59,721,"Misdemeanor",325,264,61,62,50,12,387,279,276,11948
"Prowers",2015,341,157,48,205,"Felony",113,81,32,48,39,9,161,279,276,11948
"Prowers",2016,150,625,34,659,"Misdemeanor",273,223,50,34,29,5,307,156,151,11948
"Prowers",2016,342,179,52,231,"Felony",100,86,14,53,47,6,153,156,151,11948
"Pueblo",2014,151,2513,835,3348,"Misdemeanor",1496,1340,156,826,729,97,2322,14811,14494,162854
"Pueblo",2014,343,1364,481,1845,"Felony",588,453,135,481,420,61,1069,14811,14494,162854
"Pueblo",2015,152,2077,1332,3409,"Misdemeanor",1183,1021,162,1307,1145,162,2490,15182,14878,163063
"Pueblo",2015,344,1388,787,2175,"Felony",637,502,135,790,688,102,1427,15182,14878,163063
"Pueblo",2016,153,1906,1576,3482,"Misdemeanor",827,719,108,1506,1319,187,2333,15850,15529,163063
"Pueblo",2016,345,1607,657,2264,"Felony",644,541,103,651,586,65,1295,15850,15529,163063
"Rio Blanco",2014,154,193,12,205,"Misdemeanor",150,140,10,10,10,NA,160,182,177,6889
"Rio Blanco",2014,346,47,5,52,"Felony",35,26,9,9,6,3,44,182,177,6889
"Rio Blanco",2015,155,194,14,208,"Misdemeanor",138,111,27,15,15,NA,153,159,158,6744
"Rio Blanco",2015,347,33,10,43,"Felony",26,22,4,9,7,2,35,159,158,6744
"Rio Blanco",2016,156,129,24,153,"Misdemeanor",84,71,13,20,17,3,104,122,121,6744
"Rio Blanco",2016,348,55,13,68,"Felony",44,34,10,11,10,1,55,122,121,6744
"Rio Grande",2014,157,231,97,328,"Misdemeanor",97,67,30,104,79,25,201,310,307,11603
"Rio Grande",2014,349,100,61,161,"Felony",62,43,19,67,50,17,129,310,307,11603
"Rio Grande",2015,158,229,94,323,"Misdemeanor",104,82,22,87,70,17,191,427,423,11340
"Rio Grande",2015,350,73,63,136,"Felony",52,33,19,60,49,11,112,427,423,11340
"Rio Grande",2016,159,202,87,289,"Misdemeanor",103,77,26,84,69,15,187,556,547,11340
"Rio Grande",2016,351,115,50,165,"Felony",76,45,31,53,38,15,129,556,547,11340
"Routt",2014,160,385,166,551,"Misdemeanor",296,270,26,161,143,18,457,1007,977,23670
"Routt",2014,352,72,29,101,"Felony",53,43,10,30,26,4,83,1007,977,23670
"Routt",2015,161,365,172,537,"Misdemeanor",249,235,14,171,151,20,420,1049,1025,24065
"Routt",2015,353,95,65,160,"Felony",72,59,13,62,53,9,134,1049,1025,24065
"Routt",2016,162,309,176,485,"Misdemeanor",200,183,17,169,146,23,369,1001,967,24065
"Routt",2016,354,58,42,100,"Felony",39,31,8,40,34,6,79,1001,967,24065
"Saguache",2014,163,84,38,122,"Misdemeanor",35,25,10,38,34,4,73,201,196,6477
"Saguache",2014,355,18,23,41,"Felony",15,13,2,21,17,4,36,201,196,6477
"Saguache",2015,164,69,31,100,"Misdemeanor",29,26,3,30,26,4,59,210,205,6444
"Saguache",2015,356,19,19,38,"Felony",13,8,5,19,15,4,32,210,205,6444
"Saguache",2016,165,88,30,118,"Misdemeanor",35,27,8,26,23,3,61,239,237,6444
"Saguache",2016,357,48,14,62,"Felony",31,27,4,14,10,4,45,239,237,6444
"San Juan",2014,166,11,2,13,"Misdemeanor",3,2,1,1,1,NA,4,21,21,692
"San Juan",2014,358,3,1,4,"Felony",2,2,NA,1,NA,1,3,21,21,692
"San Juan",2015,167,19,1,20,"Misdemeanor",6,3,3,1,1,NA,7,14,14,726
"San Juan",2015,359,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA,14,14,726
"San Juan",2016,168,19,4,23,"Misdemeanor",8,5,3,2,2,NA,10,21,20,726
"San Juan",2016,360,8,5,13,"Felony",7,5,2,3,3,NA,10,21,20,726
"San Miguel",2014,169,134,33,167,"Misdemeanor",110,92,18,29,21,8,139,157,156,7806
"San Miguel",2014,361,28,7,35,"Felony",20,14,6,7,5,2,27,157,156,7806
"San Miguel",2015,170,143,30,173,"Misdemeanor",114,102,12,31,26,5,145,163,161,7995
"San Miguel",2015,362,48,6,54,"Felony",37,31,6,9,6,3,46,163,161,7995
"San Miguel",2016,171,209,25,234,"Misdemeanor",179,162,17,22,20,2,201,180,171,7995
"San Miguel",2016,363,46,12,58,"Felony",40,32,8,8,7,1,48,180,171,7995
"Sedgwick",2014,172,36,7,43,"Misdemeanor",20,19,1,6,6,NA,26,62,54,2370
"Sedgwick",2014,364,8,2,10,"Felony",7,4,3,2,1,1,9,62,54,2370
"Sedgwick",2015,173,56,15,71,"Misdemeanor",25,24,1,15,12,3,40,33,33,2352
"Sedgwick",2015,365,13,7,20,"Felony",10,6,4,7,7,NA,17,33,33,2352
"Sedgwick",2016,174,62,7,69,"Misdemeanor",31,29,2,7,7,NA,38,9,9,2352
"Sedgwick",2016,366,21,9,30,"Felony",13,12,1,8,8,NA,21,9,9,2352
"Summit",2014,175,862,63,925,"Misdemeanor",647,573,74,69,61,8,716,1434,1417,28965
"Summit",2014,367,209,13,222,"Felony",144,126,18,16,12,4,160,1434,1417,28965
"Summit",2015,176,938,110,1048,"Misdemeanor",709,616,93,107,89,18,816,1666,1636,29861
"Summit",2015,368,230,19,249,"Felony",164,128,36,20,14,6,184,1666,1636,29861
"Summit",2016,177,820,112,932,"Misdemeanor",570,511,59,108,84,24,678,1915,1886,29861
"Summit",2016,369,264,19,283,"Felony",189,160,29,20,13,7,209,1915,1886,29861
"Teller",2014,178,529,139,668,"Misdemeanor",406,367,39,127,114,13,533,1213,1167,23727
"Teller",2014,370,169,14,183,"Felony",110,93,17,9,8,1,119,1213,1167,23727
"Teller",2015,179,504,121,625,"Misdemeanor",341,302,39,111,100,11,452,1227,1205,23831
"Teller",2015,371,167,21,188,"Felony",101,96,5,18,16,2,119,1227,1205,23831
"Teller",2016,180,461,119,580,"Misdemeanor",278,244,34,114,110,4,392,1322,1272,23831
"Teller",2016,372,205,27,232,"Felony",134,113,21,27,24,3,161,1322,1272,23831
"Washington",2014,181,67,29,96,"Misdemeanor",43,42,1,31,29,2,74,99,89,4830
"Washington",2014,373,11,4,15,"Felony",5,3,2,4,3,1,9,99,89,4830
"Washington",2015,182,80,37,117,"Misdemeanor",54,47,7,36,33,3,90,142,127,4792
"Washington",2015,374,8,6,14,"Felony",6,5,1,6,6,NA,12,142,127,4792
"Washington",2016,183,97,25,122,"Misdemeanor",46,44,2,23,22,1,69,264,258,4792
"Washington",2016,375,21,12,33,"Felony",13,12,1,13,12,1,26,264,258,4792
"Weld",2014,184,3329,1343,4672,"Misdemeanor",2227,1839,388,1092,967,125,3319,13245,12754,289420
"Weld",2014,376,1648,468,2116,"Felony",824,659,165,483,391,92,1307,13245,12754,289420
"Weld",2015,185,3200,2156,5356,"Misdemeanor",2037,1631,406,1911,1658,253,3948,12749,12260,300619
"Weld",2015,377,1591,596,2187,"Felony",789,601,188,609,536,73,1398,12749,12260,300619
"Weld",2016,186,2677,2747,5424,"Misdemeanor",1627,1301,326,2256,1972,284,3883,14479,13920,300619
"Weld",2016,378,1887,647,2534,"Felony",877,679,198,655,533,122,1532,14479,13920,300619
"Yuma",2014,187,90,22,112,"Misdemeanor",65,60,5,21,20,1,86,86,86,10241
"Yuma",2014,379,32,3,35,"Felony",22,19,3,3,3,NA,25,86,86,10241
"Yuma",2015,188,121,30,151,"Misdemeanor",85,73,12,31,25,6,116,77,77,10287
"Yuma",2015,380,43,10,53,"Felony",34,19,15,9,6,3,43,77,77,10287
"Yuma",2016,189,107,39,146,"Misdemeanor",74,62,12,33,27,6,107,69,68,10287
"Yuma",2016,381,47,14,61,"Felony",32,26,6,14,12,2,46,69,68,10287
"Denver",2014,238,3817,1271,5088,"Felony",1936,1632,304,1313,1186,127,3249,46205,44831,665353
"Denver",2015,239,4036,1319,5355,"Felony",2069,1751,318,1446,1291,155,3515,49467,47931,682418
"Denver",2016,240,4037,2572,6609,"Felony",1902,1621,281,2619,2286,333,4521,51525,50021,682418
