County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Clear Creek",2016,33,393,122,515,"Misdemeanor",224,194,30,38,29,9,262,500,479,9525
"Clear Creek",2016,222,80,6,86,"Felony",51,45,6,5,4,1,56,500,479,9525
"Conejos",2014,34,132,35,167,"Misdemeanor",85,72,13,33,24,9,118,45,44,9192
"Conejos",2014,223,36,14,50,"Felony",16,12,4,13,11,2,29,45,44,9192
"Conejos",2015,35,112,47,159,"Misdemeanor",71,59,12,47,42,5,118,78,78,9159
"Conejos",2015,224,51,17,68,"Felony",38,28,10,19,13,6,57,78,78,9159
"Conejos",2016,36,115,42,157,"Misdemeanor",77,61,16,40,30,10,117,103,102,8292
"Conejos",2016,225,75,27,102,"Felony",50,32,18,26,22,4,76,103,102,8292
"Costilla",2014,37,121,28,149,"Misdemeanor",70,61,9,22,19,3,92,91,87,3536
"Costilla",2014,226,34,10,44,"Felony",26,20,6,6,5,1,32,91,87,3536
"Costilla",2015,38,120,21,141,"Misdemeanor",86,73,13,20,18,2,106,21,20,3592
"Costilla",2015,227,41,5,46,"Felony",34,29,5,7,7,NA,41,21,20,3592
"Costilla",2016,39,115,24,139,"Misdemeanor",55,49,6,18,17,1,73,0,0,3592
"Costilla",2016,228,33,17,50,"Felony",23,22,1,14,14,NA,37,0,0,3592
"Crowley",2014,40,54,20,74,"Misdemeanor",40,32,8,21,18,3,61,33,32,5231
"Crowley",2014,229,26,2,28,"Felony",17,13,4,4,2,2,21,33,32,5231
"Crowley",2015,41,51,28,79,"Misdemeanor",37,29,8,29,22,7,66,152,148,5267
"Crowley",2015,230,25,20,45,"Felony",20,16,4,21,18,3,41,152,148,5267
"Crowley",2016,42,34,15,49,"Misdemeanor",22,19,3,14,8,6,36,146,146,5267
"Crowley",2016,231,55,9,64,"Felony",40,33,7,10,5,5,50,146,146,5267
"Custer",2014,43,48,14,62,"Misdemeanor",38,32,6,14,14,NA,52,86,81,4311
"Custer",2014,232,17,4,21,"Felony",14,12,2,3,2,1,17,86,81,4311
"Custer",2015,44,71,24,95,"Misdemeanor",46,40,6,24,21,3,70,213,203,4399
"Custer",2015,233,19,5,24,"Felony",8,8,NA,8,8,NA,16,213,203,4399
"Custer",2016,45,47,29,76,"Misdemeanor",36,29,7,30,26,4,66,294,276,4399
"Custer",2016,234,39,11,50,"Felony",24,23,1,12,11,1,36,294,276,4399
"Delta",2014,46,428,66,494,"Misdemeanor",283,234,49,130,115,15,413,995,961,30561
"Delta",2014,235,117,11,128,"Felony",65,46,19,32,23,9,97,995,961,30561
"Delta",2015,47,460,70,530,"Misdemeanor",297,256,41,146,124,22,443,1074,1051,29735
"Delta",2015,236,112,13,125,"Felony",61,40,21,35,29,6,96,1074,1051,29735
"Delta",2016,48,557,65,622,"Misdemeanor",282,252,30,217,179,38,499,1014,982,29735
"Delta",2016,237,114,15,129,"Felony",59,41,18,42,36,6,101,1014,982,29735
"Dolores",2014,49,29,10,39,"Misdemeanor",18,15,3,8,8,NA,26,33,33,2032
"Dolores",2014,241,3,5,8,"Felony",3,2,1,5,4,1,8,33,33,2032
"Dolores",2015,50,26,15,41,"Misdemeanor",12,11,1,8,8,NA,20,41,40,1965
"Dolores",2015,242,9,2,11,"Felony",5,4,1,2,2,NA,7,41,40,1965
"Dolores",2016,51,15,24,39,"Misdemeanor",8,7,1,12,11,1,20,65,64,1965
