urbanicity,year,medianHI,IncarcerationRate,total_pop
"rural",2010,122,0.31584517599226647,13027902
"rural",2010,94,0.5153657541506445,23608864
"rural",2011,0,NaN,0
"rural",2011,0,NaN,0
"rural",2011,0,NaN,0
"rural",2011,0,NaN,0
"rural",2011,0,NaN,0
"rural",2011,152,0.2701312065860561,1383772
"rural",2011,121,0.31109511517958555,10699943
"rural",2011,101,0.47131485851402677,16336001
"rural",2011,82,0.5947102091919244,10811316
"rural",2011,211,0.1261924113444839,46754
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,0,NaN,0
"rural",2012,103,0.45757843545201193,39328995
"rural",2013,134,0.26134088997315885,2192156
"rural",2013,88,0.5750793696161433,9026754
"rural",2013,100,0.49354908116791313,10652436
"rural",2013,122,0.32557606214288515,6043749
"rural",2013,111,0.360297009153868,7323680
"rural",2013,173,0.2879056800916188,219169
"rural",2013,205,0.205738226162421,26733
"rural",2013,195,0.24052805442946867,162559
"rural",2013,74,0.6594892615136352,3855711
"rural",2013,152,0.3456134079441244,581864
"rural",2014,0,NaN,0
"rural",2014,0,NaN,0
"rural",2014,0,NaN,0
"rural",2014,0,NaN,0
"rural",2014,0,NaN,0
"rural",2014,185,0.27496050150349116,392420
"rural",2014,99,0.4946920473564702,14684287
"rural",2014,118,0.34900068822073627,10346971
"rural",2014,81,0.5712204816345593,9797968
"rural",2014,137,0.2871359718239205,3624067
"small/mid",1989,64,0.20945411982585277,1038891
"small/mid",1989,87,0.3001841896647197,4937302
"small/mid",1989,119,0.23539844925425565,5644897
"small/mid",1989,128,0.1928207210633989,4669104
"small/mid",1989,73,0.25035444446438504,557210
"small/mid",1989,105,0.2615325863040564,9722689
"small/mid",1989,113,0.23513561352279674,6022482
"small/mid",1989,145,0.17718343177094287,2344463
"small/mid",1989,96,0.29594329299993055,8524944
"small/mid",1989,79,0.26737967914438504,1376320
"small/mid",1995,0,NaN,0
"small/mid",1995,0,NaN,0
"small/mid",1995,0,NaN,0
"small/mid",1995,0,NaN,0
"small/mid",1995,27,0.0,164
"small/mid",1995,141,0.2143920595533499,6196125
"small/mid",1995,78,0.38494988454535445,6266530
"small/mid",1995,122,0.29990278757852246,13780132
"small/mid",1995,94,0.42945849944472003,17615439
"small/mid",1995,108,0.3470472288853737,19427327
"small/mid",1997,125,0.23540213481874467,5796464
"small/mid",1997,117,0.36642421662625524,7184023
"small/mid",1997,134,0.23535398511545066,2814059
"small/mid",1997,80,0.4140883533655167,5005695
"small/mid",1997,91,0.4527806396039793,11227291
"small/mid",1997,109,0.36998627181800353,9560625
"small/mid",1997,102,0.3839128158572979,12698456
"small/mid",1997,69,0.3863310397183465,785078
"small/mid",1997,144,0.269581725196734,2375161
"small/mid",1997,27,0.0,169
"small/mid",1998,0,NaN,0
"small/mid",1998,0,NaN,0
"small/mid",1998,140,0.2737783043340452,4091997
"small/mid",1998,90,0.4687621017753573,14060437
"small/mid",1998,74,0.4025716573362904,4298862
"small/mid",1998,28,0.0,164
"small/mid",1998,125,0.2652012521540706,8610442
"small/mid",1998,151,0.23676342790687233,935533
"small/mid",1998,113,0.3812105306254068,11846210
"small/mid",1998,103,0.4170489989990168,14031205
"small/mid",1999,78,0.41435816446978124,2943106
"small/mid",1999,68,0.35729757016171476,279319
"small/mid",1999,103,0.4317639263955227,13440215
"small/mid",1999,119,0.3209109369380408,6300502
"small/mid",1999,93,0.45653361939934406,11365209
"small/mid",1999,149,0.2792664334870284,2148844
"small/mid",1999,127,0.21147686363731658,4913067
"small/mid",1999,111,0.40939627239070275,9913378
"small/mid",1999,137,0.2818773261922201,3620724
"small/mid",1999,86,0.47609829874509196,5310668
"small/mid",2000,128,0.28009581938205985,7147197
"small/mid",2000,112,0.40888355960918416,7372270
"small/mid",2000,120,0.31329715222069576,4803427
"small/mid",2000,82,0.4844975460650036,2384945
"small/mid",2000,105,0.41396186413619585,9787375
"small/mid",2000,99,0.4831123961806049,9493650
"small/mid",2000,86,0.4938281196241601,3604088
"small/mid",2000,145,0.2599213141667353,4200502
"small/mid",2000,73,0.4240276296041806,774242
"small/mid",2000,92,0.491189024442359,8190126
"small/mid",2001,0,NaN,0
"small/mid",2001,0,NaN,0
"small/mid",2001,0,NaN,0
"small/mid",2001,0,NaN,0
"small/mid",2001,0,NaN,0
"small/mid",2001,0,NaN,0
"small/mid",2001,134,0.27654806115271363,13750232
"small/mid",2001,96,0.48534403881334603,18057294
"small/mid",2001,110,0.41099564064583805,21247184
