state,year,medianHI,IncarcerationRate,total_pop
"AL",2007,39044,6.154410967133643e-3,1797735
"AL",2007,34015,5.591233368058761e-3,909996
"AL",2007,44795,6.6945986283319485e-3,903863
"AL",2008,0,NaN,0
"AL",2008,0,NaN,0
"AL",2008,40502,5.378096149914683e-3,988082
"AL",2008,46249,6.7146910099396325e-3,910094
"AL",2008,53822,4.921247350585726e-3,630328
"AL",2008,29958,6.117702125388259e-3,487111
"AL",2008,71785,2.7209946216597536e-3,188534
"AL",2008,43262,7.805925065728955e-3,613124
"AL",2008,35881,5.8801283380707815e-3,819710
"AL",2008,48804,3.9151471873730345e-3,81223
"AL",2009,0,NaN,0
"AL",2009,0,NaN,0
"AL",2009,0,NaN,0
"AL",2009,0,NaN,0
"AL",2009,49141,4.127075291169736e-3,393499
"AL",2009,26739,5.88750804113331e-3,214522
"AL",2009,60301,4.5113873375556765e-3,523564
"AL",2009,38445,6.211706752119226e-3,1662989
"AL",2009,32653,5.832092792457512e-3,644880
"AL",2009,42701,6.9799861052542165e-3,1318484
"AL",2010,0,NaN,0
"AL",2010,0,NaN,0
"AL",2010,0,NaN,0
"AL",2010,0,NaN,0
"AL",2010,49259,4.070407268702838e-3,482507
"AL",2010,29291,5.351797538777855e-3,330730
"AL",2010,59238,4.350738172727702e-3,530025
"AL",2010,40643,6.877158124964949e-3,1872285
"AL",2010,35454,6.281259231233458e-3,1181451
"AL",2010,43635,5.2628461902915966e-3,371472
"AL",2011,30284,5.626514435911126e-3,194792
"AL",2011,41846,6.242647665579849e-3,521093
"AL",2011,36433,4.40970263518414e-3,310225
"AL",2011,42067,6.452298603699554e-3,903244
"AL",2011,48840,4.413969583871597e-3,404851
"AL",2011,24783,5.211472329563584e-3,112828
"AL",2011,58787,4.227562530652281e-3,611700
"AL",2011,39433,6.178806222742954e-3,614520
"AL",2011,33564,7.4726983815848035e-3,622399
"AL",2011,43000,7.3194577967738055e-3,489927
"AL",2012,0,NaN,0
"AL",2012,0,NaN,0
"AL",2012,37002,5.11813978378837e-3,612918
"AL",2012,43182,4.30206013169855e-3,144117
"AL",2012,50213,4.362334174330593e-3,491480
"AL",2012,26414,5.578465921871486e-3,133370
